text,child rows,template,grid,classes,id,background image,supporting images,BLOCKING,Source,Description,Link,blank
[[TITLE]],,,,,,vi_title.jpg,,,,,,
"When you arrive at your local polling place on Election Day, should you be required to show some form of ID before casting your vote?",,nb-column-2-1-28,,fontSizeSmall1,,,vi_pollingplace.png,image/graphic of polling place,,,,
[[map sequence]],3,nb-image-fade-text-replace,,skip map-sequence,,,vi_map_blankus.png,,,,,
This is a question that 46 state legislatures have debated at some point in the past decade. ,,,,fontSizeSmall1,,,,map (fade-in different stats),,,,
"As of September 2012, 33 states have passed laws requiring voters to identify themselves at the polls.",,,,fontSizeSmall1,,,vi_map_thirtythree.png,map (fade-in different stats),National Conference of State Legislatures, Voter Identification: State Requirements,http://www.ncsl.org/legislatures-elections/elections/voter-id.aspx,
Seventeen of them require residents to show some form of photo identification before stepping into the voting booth.,,,,fontSizeSmall1,,,vi_map_thirtythree02.png,,,,,
"<p>On the surface, these requirements seem reasonable. (After all, you have to show ID when you cash a check or board a plane.)</p><p>But there are reasons to worry that voter ID laws could prevent substantial numbers of minority, elderly, and low-income voters from participating in the 2012 elections.</p>",,,,,,,,t.o.,Brennan Center for Justice,Voting Law Changes in 2012,http://www.brennancenter.org/content/resource/voting_law_changes_in_2012/,
"In this Newsbound explainer, we're going to dig into the story and answer these questions: ",3,nb-image-children,,fontSizeSmall1,vi-toc,vi_tableofcontent.jpg,,chapter openers,,,,
[[Where is the push for voter ID laws coming from?]],,,,fadein,,,vi_toc01.png,,,,,
[[Is voter fraud that big an issue?]],,,,fadein,,,vi_toc02.png,,,,,
[[And what's the problem with asking voters to show ID?]],,,,fadein,,,vi_toc03.png,,,,,
[[Where is the push for voter ID laws coming from?]],,,,,chapter_1,,vi_chap01.png,section slide,,,,
"The voter ID debate stems from the issue of voter fraud, which is defined as a deliberate attempt by a voter to tamper with the results of an election. ",,,,,,,,"highlight ""voter fraud"" in definition type format / incorporate images?",,,,
"<p>Voter fraud encapsulates illegal actions such as casting more than one ballot or voting in a precinct where you don't reside.</p><p>It also refers to incidents in which an individual votes under someone else's name.  These types of violations are classified as ""in-person"" voter impersonation.</p>",,,,,,,,(see above),,,,
"For over a decade, Republican politicians and conservative groups have argued that in-person voter impersonation is corrupting election results across the country. They've proposed voter ID laws as a safeguard against such fraud.  ",,,,,,,,t.o.,Brennan Center for Justice,Voting Rights in 2011: A Legislative Round-Up,http://www.brennancenter.org/content/resource/voting_rights_in_2011_a_legislative_round-up/,
"Following the 2000 election, Republicans alleged that Democratic organizations had registered dead people, ex-felons, non-citizens, and others who are not legally allowed to vote.",1,,,fontSizeSmall1 vcenter,,,,t.o.,Talking Points Memo,The Fake Voter Fraud Epidemic and the 2012 Election,http://talkingpointsmemo.com/archives/2012/08/the_fake_voter_fraud_epidemic_and_the_2012_electio.php,
 There were even claims that liberal groups had urged people to commit in-person voter impersonation by casting two ballots: one under their real name and one under their dog's name. ,,,,fadein fontSizeSmall1,,,,(see above),Mother Jones,The Dog That Voted and Other Election Fraud Yarns,http://www.motherjones.com/politics/2012/07/voter-suppression-kevin-drum?page=1,
